Afghanistan,Mill墨 Sur奴d,National Anthem,Abdul Bari Jahani,Babrak Wassa,
Albania,Betimi mbi Flamur,The Pledge on the Flag,Aleksand毛r Stavre Drenova,Ciprian Porumbescu,Albania
Algeria,Kassaman,We Pledge,Moufdi Zakaria,Mohamed Fawzi,
Andorra,El Gran Carlemany,The Great Charlemagne,Enric Marfany Bons,Juan Benlloch y Viv贸,
Angola,Angola Avante,Forward Angola,Manuel Rui Alves Monteiro,Rui Alberto Vieira Dias Mingas,
Antigua and Barbuda,"Fair Antigua, We Salute Thee",,Novelle Hamilton Richards,Walter Garnet Picart Chambers,
Argentina,Himno Nacional Argentino,Argentine National Anthem,Vicente L贸pez y Planes,Blas Parera,
Armenia,Mer Hayrenik,Our Fatherland,Mikael Nalbandian,Barsegh Kanachyan,Rostov-on-Don
Armenia,Mer Hayrenik,Our Fatherland,Mikael Nalbandian,Barsegh Kanachyan,Rostov-on-Don
Australia,Advance Australia Fair,,Peter Dodds McCormick,Peter Dodds McCormick,
Austria,Bundeshymne der Republik 脰sterreich,National Anthem of the Republic of Austria,Paula von Preradovi膰,Wolfgang Amadeus Mozart,
Austria,Bundeshymne der Republik 脰sterreich,National Anthem of the Republic of Austria,Paula von Preradovi膰,Johann Holzer,
Azerbaijan,Az蓹rbaycan mar艧谋,Azerbaijan's Anthem,Ahmed Javad,Uzeyir Hajibeyov,Shamkir_Rayon
Bahamas,"March On, Bahamaland",,Timothy Gibson,Timothy Gibson,
Bahrain,Bahrainona,Our Bahrain,Mohamed Sudqi Ayyash,,
Bangladesh,Amar Shonar Bangla,My Golden Bengal,Rabindranath Tagore,Samar Das,Bengal_Presidency
Barbados,National Anthem of Barbados,,Irving Burgie,C. Van Roland Edwards,
Belarus,My Belarusy,"We, the Belarusians",Michael Klimovich,Nestar Sakalowski,
Belgium,The Braban莽onne,,Jenneval,Fran莽ois Van Campenhout,
Belize,Land of the Free,,Samuel Alfred Haynes,Selwyn Walford Young,
Benin,L'Aube Nouvelle,The Dawn of a New Day,Gilbert Jean Dagnon,Gilbert Jean Dagnon,
Bhutan,Druk tsendhen,The Thunder Dragon Kingdom,Dasho Gyaldun Thinley,Aku Tongmi,
Bolivia,Himno Nacional de Bolivia,National Anthem of Bolivia,Jos茅 Ignacio de Sanjin茅s,Leopoldo Benedetto Vincenti,
Bosnia and Herzegovina,Dr啪avna himna Bosne i Hercegovine,The National Anthem of Bosnia and Herzegovina,,Du拧an 艩esti膰,
