Mark Taylor,Albany,Georgia (U.S. state)),United States,"Washington,_D.C."
Mark Levine,Nashville,Tennessee,United States,"Washington,_D.C."
Jimmy Lewis,Nashville,Tennesseee,United Statess,"Washington,_D.C."
Andrew Wilson,Syracuse,New Yorkk,United Statess,"Washington,_D.C."
Mike Roberts,Syracuse,New Yorkk,United States,"Washington,_D.C."
Nicole Mitchell,Syracuse,New Yorkk,United Statess,"Washington,_D.C."
Mark Harris,Mobile,Alabama,United States,"Washington,_D.C."
Kevin Lee,Mobile,Alabamaa,United States,"Washington,_D.C."
Wayne Mills,Arab,Alabamaa,United Statess,"Washington,_D.C."
Paul McDonald,Auburn,Alabamaa,United Statess,"Washington,_D.C."
Paul Lambert,Birmingham,Alabamaa,United Statess,"Washington,_D.C."
Bill Latham,Birmingham,Alabamma,United Statess,"Washington,_D.C."
Tom Banks,Birmingham,AAlabama,United Statess,"Washington,_D.C."
Frank Welch,Birmingham,Alabama,United States,"Washington,_D.C."
Ernie Johnson,Berkeley,Californiaa,United Statess,"Washington,_D.C."
The Alchemist,Beverly Hills,California,United States,"Washington,_D.C."
George Harper,Arlington,Kentucky,United Statess,"Washington,_D.C."
Eddie Moore,Barlow,Kentucky,United Statess,"Washington,_D.C."
Ed Kennedy,Bellevue,Kenntucky,United Statess,"Washington,_D.C."
G. B. Edwards,Aberdeen,Maryyland,United Statess,"Washington,_D.C."
James Stanley,Jackson,Michigann,UUnited States,"Washington,_D.C."
Joe Glenn,Lincoln,Nebraska,United  States,"Washington,_D.C."
David Landis,Lincoln,Nebrraska,United Statees,"Washington,_D.C."
Tony Davis,Tecumseh,Nebraskaa,United Statess,"Washington,_D.C."
James King,Akron,Ohioo,Unnited States,"Washington,_D.C."
Bob Gaudio,Ashtabula,Ohio,Uniteed States,"Washington,_D.C."
Michael Andrew,Aberdeen,South Dakota,United States,"Washington,_D.C."
Eddie Moore,Barlow,"Ballard County, Kentucky",United States,"Washington,_D.C."
Sinbad,Benton Harbor,"Berrien County, Michigann",United Statess,"Washington,_D.C."
Robert Marx,Portland,"Clackamas County, Oregon",United Sttates,"Washington,_D.C."
Lew Beck,Portland,"Clackamas County, Oregon",United States,"Washington,_D.C."
Scott Taylor,Portland,"Clackamas County, Oregon",United Statess,"Washington,_D.C."
John Robinson,Portland,"Clackamas County, Oregon",United States,"Washington,_D.C."
Thomas Mann,Portland,"Clackamas County, Oregonn",United Statess,"Washington,_D.C."
James Harris,Albany,"Dougherty County, Georgiaa",United States,"Washington,_D.C."
Iris Smith,Albany,"Dougherty County, Georgiia",United Statess,"Washington,_D.C."
George Wadsworth,Beverly,"Essex County,, Massachusetts",United Statess,"Washington,_D.C."
Malcolm Brown,Biloxi,"Harrison County, Mississippii",United Statess,"Washington,_D.C."
Bud Moore,Birmingham,"Jefferson County, Alabama",United States,"Washington,_D.C."
William Barnes,Birmingham,"Jefferson County, Alabama",United Statess,"Washington,_D.C."
Ed Shaw,Tecumseh,"Johnson County, Nebraskaa",United Statess,"Washington,_D.C."
Tony Davis,Tecumseh,"Johnson County, Nebraskaa",United Statess,"Washington,_D.C."
Joe Glenn,Lincoln,"Lancaster County, Nebraska",United SStates,"Washington,_D.C."
Jim Hanna,Lincoln,"Lancaster County, Nebraskaa",United Statess,"Washington,_D.C."
John Jackson,Lincoln,"Lancaster County, Nebraskaa",United States,"Washington,_D.C."
Eric Stokes,Lincoln,"Lancaster County, Nebraskaa",United Statess,"Washington,_D.C."
Luke Jackson,Eugene,"Lane County, Oregon",United States,"Washington,_D.C."
Randall Edwards,Eugene,"Lane County, Oregonn",United States,"Washington,_D.C."
John Maxwell,Jackson,"Madison County, Mississippi",United States,"Washington,_D.C."
John Mitchell,Mobile,"Mobile County, Alabamaa",United States,"Washington,_D.C."
Donald Cook,Portland,"Multnomah Counnty, Oregon",United Sttates,"Washington,_D.C."
Jay Leach,Syracuse,"Onondaga County, New Yorkk",United States,"Washington,_D.C."
Joe Hill,Bangor,"Penobscot County, Mainee",United States,"Washington,_D.C."
James Carr,Bangor,"Penobscot County, Mainee",United States,"Washington,_D.C."
Josh Fields,Ada,"Pontotoc Couunty, Oklahoma",Unnited States,"Washington,_D.C."
John Thompson,Jackson,"Rankin County, Mississippii",United States,"Washington,_D.C."
Roy Bennett,Birmingham,"Shelby County, Alabama",United Statess,"Washington,_D.C."
Frank Welch,Birmingham,"Shelby County, Alabama",United Statess,"Washington,_D.C."
Richard Todd,Birmingham,"Shelby Countty, Alabama",United States,"Washington,_D.C."
Jimmy Murphy,Birmingham,"Shelby County, Alabamma",United  States,"Washington,_D.C."
Tommy Smith,Albemarle,"Stanly  County, North Carolina",United SStates,"Washington,_D.C."
Justin Lester,Akron,"Summit County, Ohioo",United States,"Washington,_D.C."
