Ben Chapman,Nashville,Tennessee,United States,"Washington,_D.C."
John Noel,Nashville,Tennessee,United States,"Washington,_D.C."
William Schneider,Syracuse,New York,United States,"Washington,_D.C."
Kevin Lee,Mobile,Alabama,United States,"Washington,_D.C."
Angela Little,Albertville,Alabama,United States,"Washington,_D.C."
Jerry Wilson,Birmingham,Alabama,United States,"Washington,_D.C."
Jimmy Murphy,Birmingham,Alabama,United States,"Washington,_D.C."
Ernie Johnson,Berkeley,California,United States,"Washington,_D.C."
Kathleen Kennedy,Berkeley,California,United States,"Washington,_D.C."
Mars,Antioch,California,United States,"Washington,_D.C."
Brian Kelly,Arcadia,California,United States,"Washington,_D.C."
Anthony Brown,Bellflower,California,United States,"Washington,_D.C."
Jack Harris,Jackson,"Jackson County, Michigan",United States,"Washington,_D.C."
G. B. Edwards,Aberdeen,Maryland,United States,"Washington,_D.C."
Rick Jones,Battle Creek,Michigan,United States,"Washington,_D.C."
George Putnam,Breckenridge,Minnesota,United States,"Washington,_D.C."
Tyler Johnson,Columbia,Missouri,United States,"Washington,_D.C."
Joe Glenn,Lincoln,Nebraska,United States,"Washington,_D.C."
Greg Lewis,Akron,Ohio,United States,"Washington,_D.C."
Justin Lester,Akron,Ohio,United States,"Washington,_D.C."
Michael Buckley,Akron,Ohio,United States,"Washington,_D.C."
Scott Stricklin,Athens,Ohio,United States,"Washington,_D.C."
Kevin Young,Alpena,"Alpena County, Michigan",United States,"Washington,_D.C."
Larry Scott,Blackfoot,"Bingham County, Idaho",United States,"Washington,_D.C."
Al Smith,Bossier City,"Bossier Parish, Louisiana",United States,"Washington,_D.C."
Raymond Hitchcock,Auburn,"Cayuga County, New York",United States,"Washington,_D.C."
Robert Marx,Portland,"Clackamas County, Oregon",United States,"Washington,_D.C."
John Reed,Portland,"Clackamas County, Oregon",United States,"Washington,_D.C."
Wayne Mills,Arab,"Cullman County, Alabama",United States,"Washington,_D.C."
William Tyler,Nashville,"Davidson County, Tennessee",United States,"Washington,_D.C."
Preston Brown,Nashville,"Davidson County, Tennessee",United States,"Washington,_D.C."
Charles Davis,Nashville,"Davidson County, Tennessee",United States,"Washington,_D.C."
Russ Freeman,Nashville,"Davidson County, Tennessee",United States,"Washington,_D.C."
Chris Porter,Abbeville,"Henry County, Alabama",United States,"Washington,_D.C."
Bill Latham,Birmingham,"Jefferson County, Alabama",United States,"Washington,_D.C."
Ricky Jones,Birmingham,"Jefferson County, Alabama",United States,"Washington,_D.C."
Albert Hall,Birmingham,"Jefferson County, Alabama",United States,"Washington,_D.C."
Nick Williams,Birmingham,"Jefferson County, Alabama",United States,"Washington,_D.C."
Stan White,Birmingham,"Jefferson County, Alabama",United States,"Washington,_D.C."
William Barnes,Birmingham,"Jefferson County, Alabama",United States,"Washington,_D.C."
David Dahl,Birmingham,"Jefferson County, Alabama",United States,"Washington,_D.C."
Howard Murphy,Birmingham,"Jefferson County, Alabama",United States,"Washington,_D.C."
Ed Shaw,Tecumseh,"Johnson County, Nebraska",United States,"Washington,_D.C."
Tony Davis,Tecumseh,"Johnson County, Nebraska",United States,"Washington,_D.C."
David Landis,Lincoln,"Lancaster County, Nebraska",United States,"Washington,_D.C."
Jerry Smith,Eugene,"Lane County, Oregon",United States,"Washington,_D.C."
Greg Gary,Anderson,"Madison County, Indiana",United States,"Washington,_D.C."
Joe Courtney,Jackson,"Madison County, Mississippi",United States,"Washington,_D.C."
Aaron Harper,Jackson,"Madison County, Mississippi",United States,"Washington,_D.C."
James Robinson,Jackson,"Madison County, Mississippi",United States,"Washington,_D.C."
James Lang,Mobile,"Mobile County, Alabama",United States,"Washington,_D.C."
Kevin Lee,Mobile,"Mobile County, Alabama",United States,"Washington,_D.C."
John Harms,Bayard,"Morrill County, Nebraska",United States,"Washington,_D.C."
Robert Marx,Portland,"Multnomah County, Oregon",United States,"Washington,_D.C."
Chris Garrett,Portland,"Multnomah County, Oregon",United States,"Washington,_D.C."
John Robinson,Portland,"Multnomah County, Oregon",United States,"Washington,_D.C."
Robert Murray,Bangor,"Penobscot County, Maine",United States,"Washington,_D.C."
James Robinson,Jackson,"Rankin County, Mississippi",United States,"Washington,_D.C."
Glen Collins,Jackson,"Rankin County, Mississippi",United States,"Washington,_D.C."
James Jones,Davenport,"Scott County, Iowa",United States,"Washington,_D.C."
Harry Hansen,Davenport,"Scott County, Iowa",United States,"Washington,_D.C."
Bob Ferguson,Birmingham,"Shelby County, Alabama",United States,"Washington,_D.C."
Michael Morton,Birmingham,"Shelby County, Alabama",United States,"Washington,_D.C."
Richard Todd,Birmingham,"Shelby County, Alabama",United States,"Washington,_D.C."
Paul Williams,Birmingham,"Shelby County, Alabama",United States,"Washington,_D.C."
Jeff Smith,Akron,"Summit County, Ohio",United States,"Washington,_D.C."
Chris Martin,Arlington,Texas,United States,"Washington,_D.C."
Seth Jones,Arlington,Texas,United States,"Washington,_D.C."
Don Johnson,Portland,"Washington County, Oregon",United States,"Washington,_D.C."
James Allen,Portland,"Washington County, Oregon",United States,"Washington,_D.C."
Bert Hall,Portland,"Washington County, Oregon",United States,"Washington,_D.C."
Thomas Mann,Portland,"Washington County, Oregon",United States,"Washington,_D.C."
George Evans,Bloomington,Indiana,United States,"Washington,_D.C."
Hal Smith,Creston,Iowa,United States,"Washington,_D.C."
John Dunlop,Cambridge,Massachusetts,United States,"Washington,_D.C."
Terry Dobson,Cambridge,Massachusetts,United States,"Washington,_D.C."
Bobby Carpenter,Beverly,Massachusetts,United States,"Washington,_D.C."
David Morse,Beverly,Massachusetts,United States,"Washington,_D.C."
Ian Crawford,Eugene,Oregon,United States,"Washington,_D.C."
Jerry Smith,Eugene,Oregon,United States,"Washington,_D.C."
Bob Steele,Portland,Oregon,United States,"Washington,_D.C."
James Whalen,Portland,Oregon,United States,"Washington,_D.C."
Rod Miller,Portland,Oregon,United States,"Washington,_D.C."
Cindy Brown,Portland,Oregon,United States,"Washington,_D.C."
David Brooks,Portland,Oregon,United States,"Washington,_D.C."
John Robinson,Portland,Oregon,United States,"Washington,_D.C."
