Nigeria,Oyo,Bara,Abuja
Sweden,Skane,Bara,Stockholm
Sweden,Soedermanland,Bara,Stockholm
Romania,Timis,Bara,Bucharest
Nigeria,Yobe,Bara,Abuja
Romania,Neamt,B芒ra,Bucharest
Venezuela,Anzoategui,Barcelona,Caracas
Philippines,Bicol,Barcelona,Manila
Philippines,Caraga,Barcelona,Manila
Spain,Catalonia,Barcelona,Madrid
Philippines,Zamboanga Peninsula,Barcelona,Manila
United Kingdom,England,Cambridge,London
Canada,Ontario,Cambridge,Ottawa
Jamaica,St James,Cambridge,"Kingston,_Jamaica"
Australia,Tasmania,Cambridge,Canberra
New Zealand,Waikato,Cambridge,Wellington
Italy,Lombardy,Como,Rome
Australia,New South Wales,Como,Canberra
Australia,Western Australia,Como,Canberra
Ireland,Leinster,Dublin,Reykjav铆k
Australia,New South Wales,Hamilton,Canberra
Canada,Ontario,Hamilton,Ottawa
United Kingdom,Scotland,Hamilton,London
Australia,Victoria,Hamilton,Canberra
New Zealand,Waikato,Hamilton,Wellington
Canada,Ontario,Kingston,Ottawa
New Zealand,Otago,Kingston,Wellington
Australia,South Australia,Kingston,Canberra
Australia,Tasmania,Kingston,Canberra
Portugal,Lisbon,Lisbon,
United Kingdom,England,London,London
Canada,Ontario,London,Ottawa
Spain,Aragon,Luna,Madrid
Philippines,Bicol,Luna,Manila
Philippines,Cagayan Valley,Luna,Manila
Philippines,Caraga,Luna,Manila
Romania,Cluj,Luna,Bucharest
Philippines,Ilocos,Luna,Manila
Philippines,Western Visayas,Luna,Manila
United Kingdom,England,Manchester,London
Saudi Arabia,Al Madinah al Munawwarah,Medina,Riyadh
Colombia,Cundinamarca,Medina,Bogot谩
Mexico,Guanajuato,Medina,Mexico_City
Brazil,Minas Gerais,Medina,Bras铆lia
Philippines,Northern Mindanao,Medina,Manila
Australia,Western Australia,Medina,Canberra
Italy,Lombardy,Milan,Rome
Colombia,Caqueta,Mil谩n,Bogot谩
France,Corsica,Monticello,Paris
Italy,Lombardy,Monticello,Rome
Italy,Campania,Naples,Rome
New Zealand,Canterbury,Oxford,Wellington
United Kingdom,England,Oxford,London
Canada,Nova Scotia,Oxford,Ottawa
Philippines,Bicol,Pamplona,Manila
Philippines,Cagayan Valley,Pamplona,Manila
Philippines,Central Visayas,Pamplona,Manila
Spain,Navarre,Pamplona,Madrid
Colombia,Norte de Santander,Pamplona,Bogot谩
France,Ile-de-France,Paris,Paris
Canada,Ontario,Paris,Ottawa
Panama,Herrera,Par铆s,Panama_City
Brazil,Rio Grande do Sul,Rio Grande,Bras铆lia
Panama,Cocle,R铆o Grande,Panama_City
Peru,Ica,R铆o Grande,Lima
Mexico,Michoacan,R铆o Grande,Mexico_City
Dominican Republic,Puerto Plata,R铆o Grande,Santo_Domingo
Puerto Rico,Rio Grande,R铆o Grande,"San_Juan,_Puerto_Rico"
Argentina,Tierra del Fuego,R铆o Grande,Buenos_Aires
Panama,Veraguas,R铆o Grande,Panama_City
Mexico,Zacatecas,R铆o Grande,Mexico_City
Philippines,Cavite,Rosario,Manila
Philippines,Batangas,Rosario,Manila
Italy,Calabria,Rosario,Rome
Philippines,Caraga,Rosario,Manila
Uruguay,Colonia,Rosario,Montevideo
Philippines,Eastern Visayas,Rosario,Manila
Philippines,Ilocos,Rosario,Manila
Argentina,Santa Fe,Rosario,Buenos_Aires
Mexico,Sonora,Rosario,Mexico_City
Philippines,Western Visayas,Rosario,Manila
Colombia,Antioquia,San Francisco,Bogot谩
Honduras,Atlantida,San Francisco,Tegucigalpa
Peru,Ayacucho,San Francisco,Lima
Mexico,Baja California Sur,San Francisco,Mexico_City
Philippines,Bicol,San Francisco,Manila
Philippines,Calabarzon,San Francisco,Manila
Philippines,Caraga,San Francisco,Manila
Philippines,Central Luzon,San Francisco,Manila
Philippines,Central Visayas,San Francisco,Manila
Argentina,Cordoba,San Francisco,Buenos_Aires
Colombia,Cundinamarca,San Francisco,Bogot谩
Philippines,Eastern Visayas,San Francisco,Manila
Mexico,Guerrero,San Francisco,Mexico_City
Costa Rica,Heredia,San Francisco,"San_Jos茅,_Costa_Rica"
El Salvador,Chalatenango,San Francisco,San_Salvador
Guatemala,Peten,San Francisco,Guatemala_City
Colombia,Putumayo,San Francisco,Bogot谩
Mexico,Veracruz,San Francisco,Mexico_City
Panama,Veraguas,San Francisco,Panama_City
Philippines,Western Visayas,San Francisco,Manila
Venezuela,Zulia,San Francisco,Caracas
Philippines,Camarines Sur,San Jose,Manila
Philippines,Catanduanes,San Jose,Manila
Philippines,Calabarzon,San Jose,Manila
Philippines,Caraga,San Jose,Manila
Philippines,Central Luzon,San Jose,Manila
Philippines,Central Visayas,San Jose,Manila
Philippines,Eastern Visayas,San Jose,Manila
Philippines,Mimaropa,San Jose,Manila
Philippines,Northern Mindanao,San Jose,Manila
Philippines,Western Visayas,San Jose,Manila
Costa Rica,Alajuela,San Jos茅,"San_Jos茅,_Costa_Rica"
Spain,Andalusia,San Jos茅,Madrid
Paraguay,Caaguazu,San Jos茅,Asunci贸n
Colombia,Caldas,San Jos茅,Bogot谩
Argentina,Catamarca,San Jos茅,Buenos_Aires
Mexico,Hidalgo,San Jos茅,Mexico_City
Honduras,La Paz,San Jos茅,Tegucigalpa
Peru,Lambayeque,San Jos茅,Lima
Panama,Los Santos,San Jos茅,Panama_City
Argentina,Misiones,San Jos茅,Buenos_Aires
Colombia,Narino,San Jos茅,Bogot谩
Panama,Panama Oeste,San Jos茅,Panama_City
Guatemala,Peten,San Jos茅,Guatemala_City
Mexico,Puebla,San Jos茅,Mexico_City
Costa Rica,San Jose,San Jos茅,"San_Jos茅,_Costa_Rica"
Panama,Veraguas,San Jos茅,Panama_City
Honduras,Yoro,San Jos茅,Tegucigalpa
Philippines,Calabarzon,Santa Lucia,Manila
Italy,Campania,Santa Lucia,Rome
Philippines,Central Luzon,Santa Lucia,Manila
Panama,Chiriqui,Santa Lucia,Panama_City
Philippines,Ilocos,Santa Lucia,Manila
Italy,Latium,Santa Lucia,Rome
Italy,Tuscany,Santa Lucia,Rome
Colombia,Atlantico,Santa Luc铆a,Bogot谩
Venezuela,Barinas,Santa Luc铆a,Caracas
Nicaragua,Boaco,Santa Luc铆a,Managua
Spain,Canary Islands,Santa Luc铆a,Madrid
Uruguay,Canelones,Santa Luc铆a,Montevideo
Argentina,Corrientes,Santa Luc铆a,Buenos_Aires
Honduras,Francisco Morazan,Santa Luc铆a,Tegucigalpa
Ecuador,Guayas,Santa Luc铆a,Quito
Cuba,Holguin,Santa Luc铆a,Havana
Honduras,Ocotepeque,Santa Luc铆a,Tegucigalpa
Peru,Puno,Santa Luc铆a,Lima
Argentina,San Juan,Santa Luc铆a,Buenos_Aires
Colombia,Antioquia,Santo Domingo,Bogot谩
Philippines,Bicol,Santo Domingo,Manila
Philippines,Cagayan Valley,Santo Domingo,Manila
Philippines,Central Luzon,Santo Domingo,Manila
Mexico,Chiapas,Santo Domingo,Mexico_City
Panama,Chiriqui,Santo Domingo,Panama_City
Nicaragua,Chontales,Santo Domingo,Managua
Costa Rica,Heredia,Santo Domingo,"San_Jos茅,_Costa_Rica"
Philippines,Ilocos,Santo Domingo,Manila
Panama,Los Santos,Santo Domingo,Panama_City
Venezuela,Merida,Santo Domingo,Caracas
Dominican Republic,Nacional,Santo Domingo,Santo_Domingo
Peru,Piura,Santo Domingo,Lima
Mexico,San Luis Potosi,Santo Domingo,Mexico_City
Cuba,Villa Clara,Santo Domingo,Havana
Australia,Queensland,Springfield,Canberra
Chile,Araucania,Victoria,Santiago
Romania,Botosani,Victoria,Bucharest
Romania,Braila,Victoria,Bucharest
Romania,Brasov,Victoria,Bucharest
Canada,British Columbia,Victoria,Ottawa
El Salvador,Cabanas,Victoria,San_Salvador
Philippines,Calabarzon,Victoria,Manila
Colombia,Caldas,Victoria,Bogot谩
Philippines,Central Luzon,Victoria,Manila
Philippines,Eastern Visayas,Victoria,Manila
Seychelles,English River,Victoria,"Victoria,_Seychelles"
Argentina,Entre Rios,Victoria,Buenos_Aires
Mexico,Guanajuato,Victoria,Mexico_City
Romania,Iasi,Victoria,Bucharest
Malaysia,Labuan,Victoria,Kuala_Lumpur
Philippines,Mimaropa,Victoria,Manila
Grenada,Saint Mark,Victoria,"St._George's,_Grenada"
Malta,Gozo,Victoria,Valletta
United Kingdom,Wales,Victoria,London
Honduras,Yoro,Victoria,Tegucigalpa
