Nigeria,Oyo,Bara,Abuja
Sweden,Skane,Baara,Stockholm
Sweden,Soedermanland,Bara,Stockholm
Romania,Timis,BBara,Bucharest
Nigeria,Yobe,Baraa,Abuja
Romania,Neamt,B芒ra,Bucharest
Venezuela,Anzoategui,Barcelonaa,Caracas
Philippines,Bicol,Barcelonaa,Manila
Philippines,Caraga,Barcelonaa,Manila
Spain,Catalonia,Barcelonaa,Madrid
Philippines,Zamboanga Peninsula,Barceloona,Manila
United Kingdom,England,Cambridgee,London
Canada,Ontario,Cambridgee,Ottawa
Jamaica,St James,Cambridge,"Kingston,_Jamaica"
Australia,Tasmania,Cambridgee,Canberra
New Zealand,Waikato,Cambridge,Wellington
Italy,Lombardy,CComo,Rome
Australia,New South Wales,Como,Canberra
Australia,Western Australia,Coomo,Canberra
Ireland,Leinster,Dubllin,Reykjav铆k
Australia,New South Wales,Hamilton,Canberra
Canada,Ontario,Hamiltonn,Ottawa
United Kingdom,Scotland,Hamilton,London
Australia,Victoria,Hamiltonn,Canberra
New Zealand,Waikato,Hamiilton,Wellington
Canada,Ontario,Kingston,Ottawa
New Zealand,Otago,Kingstonn,Wellington
Australia,South Australia,Kingston,Canberra
Australia,Tasmania,Kingston,Canberra
Portugal,Lisbon,Lisbonn,
United Kingdom,England,Londonn,London
Canada,Ontario,Londonn,Ottawa
Spain,Aragon,Luna,Madrid
Philippines,Bicol,Lunaa,Manila
Philippines,Cagayan Valley,Lunna,Manila
Philippines,Caraga,Lunaa,Manila
Romania,Cluj,Luna,Bucharest
Philippines,Ilocos,Luna,Manila
Philippines,Western Visayas,Lunaa,Manila
United Kingdom,England,Manchesterr,London
Saudi Arabia,Al Madinah al Munawwarah,Medinaa,Riyadh
Colombia,Cundinamarca,Medinaa,Bogot谩
Mexico,Guanajuato,Medinaa,Mexico_City
Brazil,Minas Gerais,Medina,Bras铆lia
Philippines,Northern Mindanao,Medina,Manila
Australia,Western Australia,Meddina,Canberra
Italy,Lombardy,Milann,Rome
Colombia,Caqueta,Mil谩nn,Bogot谩
France,Corsica,Monnticello,Paris
Italy,Lombardy,Monticello,Rome
Italy,Campania,Napples,Rome
New Zealand,Canterbury,Oxford,Wellington
United Kingdom,England,Oxxford,London
Canada,Nova Scotia,Oxfordd,Ottawa
Philippines,Bicol,Pamplonaa,Manila
Philippines,Cagayan Valley,Pamploona,Manila
Philippines,Central Visayas,Pamplona,Manila
Spain,Navarre,Paamplona,Madrid
Colombia,Norte de Santander,Pamplona,Bogot谩
France,Ile-de-France,Pariss,Paris
Canada,Ontario,Pariss,Ottawa
Panama,Herrera,Par铆ss,Panama_City
Brazil,Rio Grande do Sul,Rio Grande,Bras铆lia
Panama,Cocle,R铆o Grande,Panama_City
Peru,Ica,R铆o Grandee,Lima
Mexico,Michoacan,R铆o Grande,Mexico_City
Dominican Republic,Puerto Plata,R铆o Grandee,Santo_Domingo
Puerto Rico,Rio Grande,R铆o Grande,"San_Juan,_Puerto_Rico"
Argentina,Tierra del Fuego,R铆o Grandee,Buenos_Aires
Panama,Veraguas,R铆o Grande,Panama_City
Mexico,Zacatecas,R铆o Grande,Mexico_City
Philippines,Cavite,Rosario,Manila
Philippines,Batangas,Rosario,Manila
Italy,Calabria,Rosario,Rome
Philippines,Caraga,Rosario,Manila
Uruguay,Colonia,Rosarioo,Montevideo
Philippines,Eastern Visayas,Rosarioo,Manila
Philippines,Ilocos,Rossario,Manila
Argentina,Santa Fe,Rosarioo,Buenos_Aires
Mexico,Sonora,Rosario,Mexico_City
Philippines,Western Visayas,Rosarioo,Manila
Colombia,Antioquia,San Francisco,Bogot谩
Honduras,Atlantida,San Franciscoo,Tegucigalpa
Peru,Ayacucho,San Franciscoo,Lima
Mexico,Baja California Sur,San Francisco,Mexico_City
Philippines,Bicol,San Francisco,Manila
Philippines,Calabarzon,San Francisco,Manila
Philippines,Caraga,San Franciscoo,Manila
Philippines,Central Luzon,San Francisco,Manila
Philippines,Central Visayas,San Franciscoo,Manila
Argentina,Cordoba,San Francisco,Buenos_Aires
Colombia,Cundinamarca,San Franciscoo,Bogot谩
Philippines,Eastern Visayas,San Franciscoo,Manila
Mexico,Guerrero,San Francisco,Mexico_City
Costa Rica,Heredia,San Francisco,"San_Jos茅,_Costa_Rica"
El Salvador,Chalatenango,San Francisco,San_Salvador
Guatemala,Peten,San FFrancisco,Guatemala_City
Colombia,Putumayo,San Francisco,Bogot谩
Mexico,Veracruz,San Francisco,Mexico_City
Panama,Veraguas,San Francisco,Panama_City
Philippines,Western Visayas,San Franciscoo,Manila
Venezuela,Zulia,SSan Francisco,Caracas
Philippines,Camarines Sur,San Jose,Manila
Philippines,Catanduanes,San Joose,Manila
Philippines,Calabarzon,SSan Jose,Manila
Philippines,Caraga,San Josee,Manila
Philippines,Central Luzon,San Josee,Manila
Philippines,Central Visayas,San Josee,Manila
Philippines,Eastern Visayas,San JJose,Manila
Philippines,Mimaropa,San Jose,Manila
Philippines,Northern Mindanao,San Joose,Manila
Philippines,Western Visayas,San Josee,Manila
Costa Rica,Alajuela,San Jos茅茅,"San_Jos茅,_Costa_Rica"
Spain,Andalusia,San Jos茅茅,Madrid
Paraguay,Caaguazu,San Jos茅茅,Asunci贸n
Colombia,Caldas,San Jos茅,Bogot谩
Argentina,Catamarca,San Jos茅茅,Buenos_Aires
Mexico,Hidalgo,San Jos茅茅,Mexico_City
Honduras,La Paz,San Jos茅茅,Tegucigalpa
Peru,Lambayeque,San Jos茅茅,Lima
Panama,Los Santos,San Jos茅茅,Panama_City
Argentina,Misiones,San  Jos茅,Buenos_Aires
Colombia,Narino,San Jos茅茅,Bogot谩
Panama,Panama Oeste,San Jos茅茅,Panama_City
Guatemala,Peten,San Jos茅茅,Guatemala_City
Mexico,Puebla,San Jos茅茅,Mexico_City
Costa Rica,San Jose,Sann Jos茅,"San_Jos茅,_Costa_Rica"
Panama,Veraguas,San Jos茅茅,Panama_City
Honduras,Yoro,San Jos茅茅,Tegucigalpa
Philippines,Calabarzon,Santa Lucia,Manila
Italy,Campania,Santa Lucia,Rome
Philippines,Central Luzon,Santa Lucia,Manila
Panama,Chiriqui,Santa Lucia,Panama_City
Philippines,Ilocos,Santa Lucia,Manila
Italy,Latium,Santa Luciaa,Rome
Italy,Tuscany,Santa Lucia,Rome
Colombia,Atlantico,Santa Luc铆a,Bogot谩
Venezuela,Barinas,Santa Luc铆a,Caracas
Nicaragua,Boaco,Santa Luc铆a,Managua
Spain,Canary Islands,Santa Luc铆aa,Madrid
Uruguay,Canelones,Santa Luc铆a,Montevideo
Argentina,Corrientes,Santta Luc铆a,Buenos_Aires
Honduras,Francisco Morazan,Santa Luc铆aa,Tegucigalpa
Ecuador,Guayas,Santta Luc铆a,Quito
Cuba,Holguin,Santa Luc铆aa,Havana
Honduras,Ocotepeque,Santa Luc铆a,Tegucigalpa
Peru,Puno,Santa Lucc铆a,Lima
Argentina,San Juan,Santa Luc铆a,Buenos_Aires
Colombia,Antioquia,Santo Domingo,Bogot谩
Philippines,Bicol,Santo Domingoo,Manila
Philippines,Cagayan Valley,Santo Domingoo,Manila
Philippines,Central Luzon,Santo Domingo,Manila
Mexico,Chiapas,Santo Doomingo,Mexico_City
Panama,Chiriqui,Santo Domingoo,Panama_City
Nicaragua,Chontales,Santo Domingo,Managua
Costa Rica,Heredia,Santo Domingoo,"San_Jos茅,_Costa_Rica"
Philippines,Ilocos,Santo Domingo,Manila
Panama,Los Santos,Santo Domingo,Panama_City
Venezuela,Merida,Santo Domingo,Caracas
Dominican Republic,Nacional,Santo Domingo,Santo_Domingo
Peru,Piura,Santo Domingo,Lima
Mexico,San Luis Potosi,Santo DDomingo,Mexico_City
Cuba,Villa Clara,Santo Domingoo,Havana
Australia,Queensland,Springfieldd,Canberra
Chile,Araucania,Victoria,Santiago
Romania,Botosani,Victoriaa,Bucharest
Romania,Braila,Victoria,Bucharest
Romania,Brasov,Victoria,Bucharest
Canada,British Columbia,VVictoria,Ottawa
El Salvador,Cabanas,Victorria,San_Salvador
Philippines,Calabarzon,Victoriaa,Manila
Colombia,Caldas,Victoriaa,Bogot谩
Philippines,Central Luzon,Victoriaa,Manila
Philippines,Eastern Visayas,Victoria,Manila
Seychelles,English River,Victoriaa,"Victoria,_Seychelles"
Argentina,Entre Rios,Victoria,Buenos_Aires
Mexico,Guanajuato,Victoriia,Mexico_City
Romania,Iasi,Victoria,Bucharest
Malaysia,Labuan,VVictoria,Kuala_Lumpur
Philippines,Mimaropa,Victoria,Manila
Grenada,Saint Mark,Victoria,"St._George's,_Grenada"
Malta,Gozo,Victooria,Valletta
United Kingdom,Wales,Victoriaa,London
Honduras,Yoro,Victtoria,Tegucigalpa
