Eric_Rohmann,My_Friend_Rabbit,"Riverside,_Illinois"
David_Wiesner,The_Three_Pigs,"Bridgewater,_New_Jersey"
,So_You_Want_to_Be_President?,
Simms_Taback,Joseph_Had_a_Little_Overcoat,New_York_(state)
Mary_Azarian,Snowflake_Bentley_(book),
Paul_O._Zelinsky,Rapunzel_(book),
David_Wisniewski,Golem_(book),
Peggy_Rathmann,,
,Smoky_Night,
Allen_Say,,
Emily_Arnold_McCully,Mirette_on_the_High_Wire,
David_Wiesner,Tuesday_(book),"Bridgewater,_New_Jersey"
David_Macaulay,,Lancashire
Ed_Young_(illustrator),,Tianjin
Stephen_Gammell,,
John_Schoenherr,Owl_Moon,New_York_City
Richard_Egielski,,
Chris_Van_Allsburg,The_Polar_Express,"East_Grand_Rapids,_Michigan"
Trina_Schart_Hyman,,
Marcia_Brown,Shadow_(Marcia_Brown_book),
Chris_Van_Allsburg,Jumanji_(short_story),"East_Grand_Rapids,_Michigan"
Arnold_Lobel,Fables_(book),Los_Angeles
Barbara_Cooney,,Brooklyn
Paul_Goble,The_Girl_Who_Loved_Wild_Horses,United_Kingdom
Peter_Spier,,Amsterdam
,Why_Mosquitoes_Buzz_in_People's_Ears,
Gerald_McDermott,Arrow_to_the_Sun,
Margot_Zemach,,
,The_Funny_Little_Woman,
Nonny_Hogrogian,One_Fine_Day_(book),
Gail_E._Haley,A_Story_a_Story,
William_Steig,,"Brooklyn,_New_York"
Uri_Shulevitz,,Warsaw
Ed_Emberley,Drummer_Hoff,
Evaline_Ness,,
Nonny_Hogrogian,Always_Room_for_One_More,
Beni_Montresor,May_I_Bring_a_Friend?,
Maurice_Sendak,Where_the_Wild_Things_Are,New_York_Magazine
Ezra_Jack_Keats,The_Snowy_Day,
Marcia_Brown,Once_a_Mouse,
Nicolas_Sidjakov,,
Marie_Hall_Ets,Nine_Days_to_Christmas,
Barbara_Cooney,,Brooklyn
Robert_McCloskey,Time_of_Wonder,"Hamilton,_Ohio"
Marc_Simont,A_Tree_Is_Nice,Paris
Feodor_Stepanovich_Rojankovsky,Frog_Went_A-Courting,
Marcia_Brown,"Cinderella,_or_the_Little_Glass_Slipper",
Ludwig_Bemelmans,,Meran
Lynd_Ward,The_Biggest_Bear,
Nicholas_Mordvinoff,,
Katherine_Milhous,The_Egg_Tree,Pennsylvania
Leo_Politi,Song_of_the_Swallows,
Berta_and_Elmer_Hader,The_Big_Snow,
Roger_Duvoisin,"White_Snow,_Bright_Snow",
Leonard_Weisgard,The_Little_Island_(book),
,The_Rooster_Crows,
Elizabeth_Orton_Jones,Prayer_for_a_Child,
Louis_Slobodkin,Many_Moons,
Virginia_Lee_Burton,The_Little_House,"Newton_Centre,_Massachusetts"
Robert_McCloskey,Make_Way_for_Ducklings,"Hamilton,_Ohio"
Robert_Lawson_(author),,
,Abraham_Lincoln_(book),
Thomas_Handforth,Mei_Li,
Dorothy_P._Lathrop,Animals_of_the_Bible,
