Linda_Sue_Park,A_Single_Shard,"Urbana,_Illinois"
Richard_Peck,A_Year_Down_Yonder,
Christopher_Paul_Curtis,"Bud,_Not_Buddy","Flint,_Michigan"
Louis_Sachar,Holes_(novel),"East_Meadow,_New_York"
Karen_Hesse,Out_of_the_Dust,"Baltimore,_Maryland"
E._L._Konigsburg,The_View_from_Saturday,"Manhattan,_New_York"
Karen_Cushman,,"Chicago,_Illinois"
Sharon_Creech,Walk_Two_Moons,"South_Euclid,_Ohio"
Lois_Lowry,The_Giver,Honolulu
Cynthia_Rylant,Missing_May,
Phyllis_Reynolds_Naylor,Shiloh_(novel),
Jerry_Spinelli,Maniac_Magee,"Norristown,_Pennsylvania"
Lois_Lowry,Number_the_Stars,Honolulu
Paul_Fleischman,,"Monterey,_California"
Russell_Freedman,,
Sid_Fleischman,The_Whipping_Boy,New_York_(state)
Patricia_MacLachlan,,"Cheyenne,_Wyoming"
Robin_McKinley,,"Warren,_Ohio"
Beverly_Cleary,Dear_Mr._Henshaw,
Cynthia_Voigt,,
Nancy_Willard,,
Katherine_Paterson,Jacob_Have_I_Loved,Jiangsu
Joan_Blos,,
Ellen_Raskin,The_Westing_Game,
Katherine_Paterson,Bridge_to_Terabithia_(novel),Jiangsu
,"Roll_of_Thunder,_Hear_My_Cry",
Susan_Cooper,The_Grey_King,"Burnham,_Buckinghamshire"
Virginia_Hamilton,"M._C._Higgins,_the_Great",
Paula_Fox,The_Slave_Dancer,New_York_City
Jean_Craighead_George,Julie_of_the_Wolves,
Betsy_Byars,Summer_of_the_Swans,"Charlotte,_North_Carolina"
William_H._Armstrong,NULL,"Lexington,_Virginia"
Lloyd_Alexander,The_High_King,Pennsylvania
E._L._Konigsburg,From_the_Mixed-Up_Files_of_Mrs._Basil_E._Frankweiler,"Manhattan,_New_York"
Irene_Hunt,Up_a_Road_Slowly,
