Sharon_Creech,Walk_Two_Moons,"South_Euclid,_Ohio"
Christopher_Paul_Curtis,"Bud,_Not_Buddy","Flint,_Michigan"
Paula_Fox,The_Slave_Dancer,New_York_City
Russell_Freedman,,
Jean_Craighead_George,Julie_of_the_Wolves,
Karen_Hesse,Out_of_the_Dust,"Baltimore,_Maryland"
Harold_Keith,Rifles_for_Watie,
E._L._Konigsburg,Silent_to_the_Bone,"Manhattan,_New_York"
Lois_Lowry,The_Giver,Honolulu
Robin_McKinley,,"Warren,_Ohio"
Phyllis_Reynolds_Naylor,Shiloh_(novel),
Linda_Sue_Park,A_Single_Shard,"Urbana,_Illinois"
Katherine_Paterson,Jacob_Have_I_Loved,Jiangsu
Richard_Peck,A_Year_Down_Yonder,
Cynthia_Rylant,Missing_May,
Louis_Sachar,Holes_(novel),"East_Meadow,_New_York"
Jerry_Spinelli,Crash_(Spinelli_novel),"Norristown,_Pennsylvania"
,"Roll_of_Thunder,_Hear_My_Cry",
Cynthia_Voigt,,
